id,citation_context,section,citation_intent
30165,"Bu sonuçlar, PC-Kimmo <CITE> ve Zemberek  'e göre nispeten düşük olsa da, diğer kök bulma algoritmalarına göre daha yüksektir.",deneyler ve sonuçlar,differ
48966,Araştırmacılar Naive Bayes sınıflandırıcısında %88.80 oranında bir doğruluk değeri elde etmişlerdir <CITE> .,literatür incelemesi,background
29822,Şekil 1.1 ve Şekil 1.2 GPU'ların yıllara göre gelişen durumunu CPU (merkezi işlemci birimi) ile karşılaştırarak göstermektedir <CITE> .,giriş,background
29734,<CITE> yazılım maliyet tahmini için yeni bir makine öğrenme modeli önermişlerdir.,giriş,background
30254,Sonbahar TBA3 sonuçlarına göre <CITE> Muson alçağının etkisi yaklaşık olarak 11 numaralı alt iklim bölgesinin kuzey sınırında tamamen kaybolmaktadır.,güneydoğu anadolu bölgesi'nin  ikliminin incelenmesi,background
29584,Geniş çaplı siber saldırılar yaşanması durumunda ne yapılması gerektiği hakkında farkındalık yaratmak üzere çeşitli etkinlikler gerçekleştirilmiş ve çalışmalar başlatılmıştır <CITE>.,giriş ve teorik çerçeve,background
35070,Bu teknolojilerde verinin düzenli sıralara ya da klâsik veri tabanı tablolarına yerleştirilmesi gerekmemektedir <CITE> .,büyük veri,background
31022,"Spontane duyguları içeren, üç boyutlu bir duygu alanı çerçevesinde oluşturulan VAM veri tabanı<CITE> bir Alman TV talk-show'u ""Vera am Mittag"" kaydedilmiştir.",giriş,background
29398,Afet durumlarında en önemli problemlerden biri olan haberleşme altyapısının hasarı durumunda afet sonrası yönetim için IoT teknolojilerine dayalı iletişim önerilmektedir <CITE> .,giriş,background
30339,"Liu vd., her bir vokselin anlamsal puanını ve yakın voksellerin tahmini <CITE> için alt manifold seyrek evrişim ağından faydalanmıştır  .",örgü tabanlı yöntemler,background
32384,faydalı etkileri olduğu bilinmektedir (<CITE> .,yapay zekâ temelli akilli rehabilitasyon teknikleri,background
48783,"Bu çalışmada en fazla israfın satın alma ve hazırlık aşamasında yaşandığı, pişirme-sunum süreçlerinde en yüksek israf edilen ürünlerin taze meyve ve sebze ile tabaktan çöpe kadarki süreçte en fazla israf edilen ürünün ekmek olduğunu bildirmişlerdir <CITE> .",giriş,background
46523,"Çalışma sonucuna benzer şekilde bitcoin fiyat tahmini üzerine yapılan diğer çalışmalar ile karşılaştırılacak olursak, Şahin %99,83 doğruluk ile, Ceyhan ve diğerleri %67 başarıyla, Kim ve diğerleri <CITE> üç katmanlı sinir ağı ile %80.39’luk doğruluk oranında , iki katmanlı sinir ağı ile %81,37 doğruluk oranında, Indera ve diğerleri %55’lik doğrulukla bitcoin fiyatı tahmini yapılmıştır.","sonuç, tartişma ve öneriler",support
48650,"Türkçe TTS sistemleri ile ilgili olarak gerçekleştirilen çalışmalar veri kümesi hazırlama, dil modeli ve akustik model geliştirme üzerine yoğunlaşmıştır <CITE> .",giriş,background
43978,"Böylece, Kimlik sağlayıcılar (IP) sistem için gerekli altyapıyı Bitcoin ağından temin ederek, madencilerin emeği sonucunda, verilerin bütünlüğünü garanti ederler. <CITE> sistemindekine benzer şekilde,   kimlik verilerini taahüt şeması kullanarak blokzincirde tutar, ve ilgili sıfır bilgi ispatlarını blokzincir dışında tutar, ya da ispatların tutulduğu link bilgisini kimlik doğrulama transfer işleminin extra bölümünde (OP_RETURN) belirtir.",giriş,background
44045,"Yine, standart bir Bitcoin transfer ücreti (fee), Mart 2021 itibari ile transfer başına ortalama 22.13Dolar'dır <CITE> .",karşılaştırma,background
36465,Boyut indirgeme için Doğrusal Ayrım Analizinden (DAA) faydalanılmıştır <CITE> .,veri ve yöntem,basis
49528,KNN yönteminin en önemli dezavantajlarından biri büyük ölçekli ve yüksek boyutlu veri kümeleri için verimsiz olmasıdır <CITE>.,deneysel çalişmalar,background
34808,"Model-View-Controller (MVC), bir mimari desendir ve web tabanlı uygulamalar geliştirirken yaygın bir şekilde kullanılmaktadır <CITE> .",materyal ve metotlar,background
34721,"Sosyal ağlar; kullanıcıların sanal ortamda çevrimiçi arkadaşlıklar kurabildiği; durumlarını, ilgi alanlarını, etkinlik bilgilerini paylaşabildiği aynı zamanda çok güçlü bir bilgi edinme ve yayma işlevi olan bir çeşit ilişki ağı olarak tanımlanmaktadır <CITE> .",giriş,background
30740,"ABD de Bagert, 2003 yılında ABD ve Kanada'da 22 önemli üniversitenin ""Yazılım Mühendisliği (Software Engineering)"" lisans öğrencisi kaydettiğini <CITE> belirtmiştir.",giriş,background
42257,"Ayrıca, yanlış tasarımın uzun vadede veri tutarsızlıkları ve verilerin doğruluğunda sorunlar olabileceğini aktarmışlardır. <CITE> , eserinde veri tabanı modelinin sistemin kalbi olduğunu ve dolayısı ile modellemeye ne kadar önem verilirse o kadar başarılı olunacağını açıklamıştır.",giriş,background
41745,"yapay sinir ağlarında parametre ayarlamaları için diferansiyel evrim modeli kullanarak gerçekleştirdikleri sistemi, göğüs kanseri veri seti dâhil üç farklı veri seti ile test ederek, geleneksel yapay sinir ağı modelinden daha başarılı olduğunu ortaya koymuşlardır <CITE> .",giriş,background
49554,"Okuyucu, bu dönüşüm için detaylı bilgilere <CITE>’den ulaşabilir.",model dönüşümleri,basis
29721,"Makine öğrenmesi, bilgisayarların insanlar gibi öğrenmesini ve hareket etmesini algoritmalar ve veriler yardımıyla sağlayan yapay zekânın bir alt dalıdır <CITE> .",giriş,background
35476,"Bahsi ilk 1950 yılında geçmiş olsa da özel depolama için ilk kullanılan bulut servisi amazon S3, 2006 yılında hizmete girmiştir <CITE> .",giriş,background
35336,"Toplamda 9000'den fazla kez alıntılanan Fayyad ve diğ.<CITE> tarafından yazılan ""From Data Mining to Knowledge Discovery in Databases (KDD)"" ve ""The KDD Processs For Extracting Useful Knowledge From Volumes of Data"" makaleleri veri madenciliği ve veri tabanlarında bilgi keşfi konularıyla ilgili olarak 90'lı yıllarda oluşturulan en temel kaynaklardandır  ,  .",kavramlar,background
32337,"Bu gelişme ilerleyen yıllarda; 3D modeller, birikim modelleme (FDM), lamine nesne üretimi (LOM), seçici lazer sinterleme (SLS), 3D baskı ve değişken hızlı prototipleme (Polyjet Teknolojisi) gibi diğer katmanlı üretim teknolojilerinin üretilmesine sebep olmuştur <CITE> .",yapay zekâ temelli akilli rehabilitasyon teknikleri,background
48695,Orhan ve Demiroğlu'nun yaptığı bir çalışmada iki kadın konuşmacı tarafından seslendirilmiş toplam 1.750 cümleden oluşan bir veri kümesi geliştirilmiştir <CITE> .,ilgili çalişmalar,background
39629,"Radyal Taban Fonksiyonlu Yapay Sinir Ağları (RTFA), jeofizik amaçlı olarak özellikle gravite  , sismik ve özdirenç araştırmalarında <CITE> uygulanmıştır, ancak literatürde doğal uçlaşma yöntemi uygulamaları bulunmamaktadır.",giriş,background
49308,"Mique ve Malicdem <CITE>, GXI görüntülerinden akciğer segmentasyonu için ResUnet mimarisi temelli semantik bir model geliştirmişlerdir.",önceki çalişmalar,background
29370,"Standart sapma hesaplamasında <CITE> 'deki sunulan yöntemde renkli imgeler için aşağıdaki düzenleme yapılmıştır  : Renkli imgelerde ise, renk kanallarının birbirlerinden bağımsız olarak işlenmesi durumunda bazı sorunlar ortaya çıkmaktadır.",bulgular,background
30393,"Ancak bu ikinci amaç çok yüksek bekleme zamanlarına, dolayısıyla yüksek maliyetlere yol açabilir <CITE> .",araç rotalama problemi,background
48956,"Ortalama RMSE değerinin istatistiksel olarak hata diye de değerlendirildiği ve bu değerin sıfıra yakın olmasının, kestirilen değerin gerçeğe olan yakınlığını gösterdiği söylenmektedir <CITE> .",deneysel çalışmalar,background
35698,"Çünkü, bir bilgiyi destekleyen unsurlarda oluşabilecek herhangi bir değişiklik, zincirleme bir etkiyle, o bilginin desteklediği tüm bilgileri sorgulanır hale getirir <CITE> .",giriş,background
30961,Günümüze kadar araç rotalama problemleri için çeşitli çözüm önerileri sunulsa bile optimal sonuç veren algoritmalarla en fazla 135 talep noktası içeren problemler çözülebilmiştir<CITE> .,giriş,background
29107,<CITE> çalışmalarında PILFER adlı makine öğrenmesi yaklaşımını kullanarak 860 phishing postası ve 6.950 gerçek posta arasından kimlik avı yapan sitelerin doğruluk oranını %92 olarak bulmuştur.,giriş,background
35363,"Bunun yanında veri madenciliği ile istatistiksel analizlerde olduğu gibi geleceğe dönük tahminler yapmak da mümkündür  ,  ,  ,  ,  ,  , <CITE> ,  .",kavramlar,background
36326,Murat ve Ali türkçe metin sınıflandırması için derin sinir ağlarında önceden eğitilmiş kelime yerleştirmeleri kullanarak doğruluğun iyileştirilmesi üzerine bir çalışma yapmışlarıdır <CITE> .,giriş,background
31473,Geliştirilen modelin zamanla değişen takip verileri olmadan temel hasta özelliklerini kullanması öne çıkan eksikliğidir <CITE> .,giriş,discuss
38313,"<CITE> , online arama motorunu kullanarak frekans tabanlı nitelik çıkarma performansını artıracak denetimsiz bir model kullanarak hedef tabanlı duygu analizi gerçekleştirmişlerdir.",literatür taramasi,discuss
40035,"Hatalı isteklerin madencilik işinde çok kullanışsız olduğu, durum kodlarının kontrol edilerek bu isteklerin temizlenmesi gerektiği belirtilmiştir <CITE> .",literatür incelemesi,background
30258,"Temel amaç, tüm sorun kısıtlamalarını karşılayan atığı en aza indiren büyük nesnelerdeki (büyük ham madde yüzeyleri) küçük parçaların en iyi çeşitliliğini bulmaktır <CITE> .",giriş,background
48960,"<CITE> , CBO ve LCOM ölçütlerinin hata kestirimi için en iyi olduğunu, NOC ölçütünün ise güvenilmez olduğunu iddia etmişlerdir.",sonuçlar ve tartışmalar,discuss
42672,Pen ve ark. tarafından hazırlanan çalışmada hisse senedi fiyatlarının pozitif ya da negatif yönlü değişim durumu bir sınıflandırma problemine dönüştürülmüştür <CITE> .,literatür taramasi,background
36462,"ESA; evrişim katmanı, ortak katman ve çıktı katmanı olarak olmak üzere 3 katmandan oluşmaktadır <CITE> .",veri ve yöntem,background
29601,"Örnek olarak Emulab  , Orbit <CITE> ve SensLab   verilebilir.",ağ sınama ortamları,background
30243,Türkiye'nin birçok istasyonunda kış yağışlarının yıllık yağış içindeki payı oldukça büyüktür <CITE> .,oluşturulan bulanık-ysa metodunun iklim bölgelerinin belirlenmesinde kullanılması,background
32581,"Tavlama benzetimi ve tepe tırmanma gibi benzer arama algoritmaları ile karşılaştırıldığında, bu algoritmanın tavlama benzetiminden ve tavlama benzetiminin ise genetik arama ve tepe tırmanmadan daha verimli sonuçlar ürettiği sırasıyla [REF] ve <CITE> çalışmalarında gösterilmiştir.",temel bilgiler,support
29214,Hibrid bir çalışmayı içeren çalışmalarında %97 başarının elde edildiği optimize edilmiş yüksek performanslı bir tanı sistemi gerçekleştirmişlerdir <CITE> .,önceki çalişmalar,background
48923,Hatalar artık çoğu yazılım kalitesi özelliği arasında fiili endüstri standardı haline gelmiştir <CITE> .,giriş,background
46773,Coskunçay ve Çakir tarafından yapılan çalışmaya benzer olarak her takımdan bir katılımcı gözden geçirme lideri olarak atanmış ve diğer katılımcılar gözden geçirici rolünü üstlenmişlerdir <CITE> .,araştırma yöntemi,basis
29689,"Tahminleme(forecasting) algoritmaları, geçmiş verileri kullanarak gelecekteki eğilimlere dair çıkarımlar yapılmasını sağlar <CITE> .",giriş,background
32326,"Beyin-bilgisayar arayüzü destekli motor görüntü (MI-BCI) sistemi, robot destekli MI ve BCI'yi birleştirerek, felçli hastaların robotik bir kol tarafından yönlendirilen engelli uzuvları, kolun motor görüntüsünden gelen nöral sinyaller yoluyla hareket ettirmesini sağlar ve çoklu duyusal geri bildirim sağlamaktadır <CITE>.",yapay zekâ temelli akilli rehabilitasyon teknikleri,background
31007,%50 sınıflandırma başarısı elde edilmiştir <CITE> .,giriş,background
30960,Günümüze kadar araç rotalama problemleri için çeşitli çözüm önerileri sunulsa bile optimal sonuç veren algoritmalarla en fazla 135 talep noktası içeren problemler çözülebilmiştir <CITE>.,giriş,background
48922,"Yazılım geliştirme teknolojilerindeki önemli ilerlemelere rağmen, yazılımlardaki hatalar üretilen yazılımların kalitesini ve güvenilirliğini büyük ölçüde etkilemektedir <CITE> .",giriş,background
48616,RGB görüntü matrislerinde ise evrişim işlemi her bir katman için yapılır ve evrişim çıktısı oluşturmak için birleştirilir <CITE> .,materyal ve metod,basis
30304,"Bu yaklaşımlar yaygın olarak, bölge tabanlı yöntemlerde özellikle NB işlerken noktaları bölümlere ayırmak ve geometrik ağ oluşturmak için kullanılmıştır <CITE>.",boyutlu veri kümeleri oluşturma,background
41545,"da akıllı sayaç verilerine dayalı olarak kısa vadeli yük tahmini için DNN ve diğer makine öğrenimi teknikleri uygulanmıştır, <CITE> ve  ' de ise yük tahmini için DBN yöntemi kullanmıştır.",literatür araştırması,background
43557,"Model derleme aşamasında çok sınıflı veri seti ile çalışıldığından, etiketler ve tahminler arasındaki çapraz entropi kaybını hesaplayan ""categorical_crossentropy"" kayıp fonksiyonu kullanılmıştır <CITE> .",materyal ve metot,basis
31020,"Berlin EmoDB <CITE> , 7 duygu içeren ve sınıflandırma doğruluğunu doğru bir şekilde değerlendirmek için her duyguyu neredeyse aynı sayıda içeren dengeli bir veri setidir.",giriş,background
40069,WEKA makine öğrenme ve veri madenciliği için kapsamlı bir araçtır <CITE> .,web sunucusu loglari üzerinde yapilan analiz çalişmasi,background
35477,"Bulut bilişim, katmanlarında birçok servis, altyapı ve platform barındırmaktadır <CITE> .",giriş,background
41730,"Kitlenin pürüzsüz olması ve sınırlarının belli olması iyi huylu olduğuna, sınırlarının düzensiz olması ve pürüzlü yapıda olması kötü huylu yani kanser riski taşımasına işarettir <CITE> .",giriş,background
35737,"Farklı bir diğer çalışmada <CITE> ise öbek zinciri tabanlı yönetişim modellerinin karar verme sürecinde vatandaş katılımını artıracağı öne sürülmüştür.  , gerçekleştirdiği sistematik incelemeye dayanarak literatürde, güvenlik için teknolojik çözümlere çok sık odaklanılırken, insanlara ve politikalara çok az odaklanıldığını belirtir.",ilgili çalışmalar,background
40674,"Eğer iki görüntü aynı ise MSE değeri sıfır olmakta, en yüksek bozulma durumunda ise MSE değeri 1 olmaktadır <CITE> .",deneysel çalışmalar,background
42410,Tensorflow çatısıda bu alanda araştırma yapmak için bir altyapı sunmaktadır <CITE> .,materyal ve yöntem,basis
49088,"Yol yakalama algoritmalarında, daha iyi sonuçlar elde edilmesi için, genellikle, yol ağının yapısı hakkında bir ön bilgi edinilmesini sağlayan aktif kontür modelleri kullanılmaktadır <CITE>.",giriş,background
30175,"Zhang & Chen ile Ahmed ve arkadaşlarının çalışmalarında, beyin manyetik rezonans görüntüleme (MRG) verilerinin bulanık bölümlendirilmesinde Bulanık C-Ortalama (BCO) algoritması kullanılmıştır <CITE> ,  .",giriş,background
49052,"Arif ve ark. <CITE> , makine öğrenimi algoritmasını büyük veri ortamına uygulayan bir saldırı tespit sistemi modeli tanıttı.",literatür taramasi,background
29919,"Buna göre, Flesch okuma kolaylığı (FRE) formülü aşağıdaki şekilde ifade edilmektedir <CITE> :",okunabilirlik indeksleri,background
32579,"Kullanılan arama algoritması, Boole fonksiyon tasarımında uygun maliyet fonksiyonu seçimiyle güçlü kriptografik özellikleri ortaya çıkardığı kanıtlanmış<CITE> en dik iniş prensibine dayalı arama algoritmasıdır.",temel bilgiler,basis
34779,"Prins <CITE> , Araç Rotalama Problemi (VRP) ve bazı uzantılarının çözümü için bir MGA yaklaşımı sunmuş ve denektaşı (benchmark) problem örnekleri üzerinde o zamana kadar VRP için en başarılı çözüm yaklaşımı olan Tabu Arama yaklaşımından daha etkin çalıştığını ortaya koymuştur.",giriş,background
44260,<CITE> tarafından yapılan çalışmada bu altı adet veri seti kullanılarak ham/spam sınıflandırması gerçekleştirilmiş.,metot ve materyaller,background
49066,Vallathan ve ark. <CITE> IoT ortamında derin öğrenme yaklaşımını temel alan şüpheci eylem tespit sistemini önermiştir.,literatür taramasi,background
49392,Diğer taraftan kayıp veri sayısı yüksekse veya bu kayıtlara ait diğer değerler önemliyse kayıp değerlerin yerine genel bir sabit kullanılabilir ya da kayıp verilerin yerine tüm verilerin ortalama değeri kullanılabilir <CITE>.,uygulama,discuss
31009,Yeterli sayıdaki ses verisi ile yapay sinir ağları eğitilerek Konuşma Duygusu Tanıma (KDT) alanında birçok çalışma gerçekleştirilmiştir <CITE> MFCC özniteliklerine ve ses sinyallerinden üretilen melspektrogramlarına dayalı olarak duyguları tahmin eden çift aşamalı bir yöntem önermişlerdir  .,giriş,background
47411,Her hava aracına bireysel bir kod ataması yapılır <CITE> .,araçlar ve yöntem,basis
35161,"Bu prensipler canlandırmanın kullanıldığı üç boyutlu modelleme, oyun programlama, robotik gibi birçok alandaki çalışmada hem uygulama hem de değerlendirmede kullanılmaktadır <CITE> -  .",yöntem,background
49098,"Ayrıca bütün bu öznitelikleri toplu olarak elde etmemizi sağlayacak OpenSMILE , MIRToolbox , YAAFE <CITE> ve Marsyas gibi araçlar da mevcuttur.",giriş,background
31008,"YSA (Yapay Sinir Ağları), SVM, RBFNN (Radyal Temel Fonksiyonu Sinir Ağları) kullanarak müzikte duyguyu tanımak için MFCC kullanmışlardır <CITE> .",giriş,background
31025,"Literatürdeki çalışmalarda Sigmoid, Tanh, ReLu (Rectified Linear Unit), SoftMax yaygın olarak kullanılan aktivasyon fonksiyonlarıdır <CITE> .",materyal ve metod,background
44280,"Türkdoğan ve arkadaşları da yazılım mühendisliği projelerinde fazla mesainin çalışanlarda verimliliği, aile yaşantısını, sosyal iletişim alanlarını ve yazılım kalitesini olumsuz etkilediğini belirtmektedirler <CITE> .",sonuç ve tartişma,support
48791,"En büyük özelliğinden biri öğrenme yoluyla bilgi edinmesi ve bu bilgileri sinir hücrelerini birbirine bağlayan bağlantılar üzerinde ağırlıklar kaydetmesidir <CITE> ,  .",meteryal ve metot,background
29805,"Bu seviyeler, araçta hiçbir sürücü destek sisteminin bulunmadığı ve tüm sorumluluğun her zaman sürücüde olduğu Seviye 0'dan, tam otonomi anlamına gelen ve sürücünün yolu gözlemlemesinin dahi gerekmediği ve aracın kendi sistemleri ile istenen bir noktadan diğerine gitmek için hiçbir sürücü desteğine ihtiyaç duymadığı Seviye 5'e kadar uzanmaktadır <CITE> .",giriş,background
47412,Şekil-1'de de verilen sistem modelinde veri kümesi üzerinde uygulanan ön işlemler aşağıda sunulmuştur. <CITE> .,araçlar ve yöntem,basis
30959,Araç rotalama problemi tüm lojistik faaliyetleri içerisinde maliyetin yaklaşık % 50'sini oluşturan nakliye ve dağıtım faaliyetleri başlığı altında yer almaktadır <CITE> .,giriş,background
49001,"""Coalition Battle Management Language (C-BML)"" dili ""Simulation Interoperability Standards Organization"" tarafından geliştirilmiştir ki bu dil hem canlı birimlerin hem de insansız birimlerin benzetim ve gerçek-zamanlı işleyişi için ortak bir dildir <CITE> .",benzer çalışmalar,background
41748,"Kaliforniya'da yaşayan ve içerisinde yüksek oranda göğüs kanseri olan, hiç doğum yapmamış ve geç doğum yapmış kadınlara ait veriler içeren veri seti ile Breast Cancer Risk Assessment Tool (BCRAT)  , International Breast Intervention Study (IBIS) <CITE> ve BRCAPRO   göğüs kanseri risk değerlendirme modellerini 5 yıl boyunca yaptıkları uygulamalarla karşılaştırmışlardır ve performanlarını test etmişlerdir.  .",giriş,background
32193,2015 verilerine göre dünya genelinde yaklaşık olarak 415 milyon kişiye diyabet tanısı konulmuş ve bu hastaların 5 milyonunun hayatını kaybettiği belirtilmiştir <CITE> .,giriş,background
48982,Ağdaki bazı bağlantıların koparılması nöronların birbirleri hakkında daha az bilgiye sahip olmalarına yol açacaktır ve bundan dolayı nöronlar birbirlerinin ağırlık değişimlerinden daha az etkilenmiş olacaklardır <CITE> .,esa katmanları ve sınıflandırıcılar,background
29374,Ayrıca yerel olan yöntemler çoğu durumda imgedeki doku bilgisini tam olarak koruyamadığından yerel olmayan ortamalar <CITE> gibi yerel olmayan yöntemler de geliştirilmiştir.,bulgular,background
30260,"Son olarak, yerleşim işlemi için kullanılacak parçalar/şekiller düzenli (dikdörtgen veya daireler) veya düzensiz şekillere sahip olabilmektedir <CITE> .",giriş,background
44281,"Graziotin ve arkadaşlarının gerçekleştirdiği çalışmaya göre, yazılım geliştiricilerde, geliştiricinin dışındaki faktörlerden kaynaklanan mutsuzluğun en sık ikinci nedeni olarak zaman baskısı görülürken, birinci mutsuzluk nedeni ""problem çözmede takılı kalmak"" olarak ortaya konmuştur <CITE> .",sonuç ve tartişma,support
48659,Doğal özelliklerin öğrenilmesinde etkili olduğu kanıtlanmış derin sinir ağları ile dil özelliklerinden elde edilen akustik özellikler doğrudan haritalanmaktadır <CITE> .,giriş,background
48830,Xie ve Yin <CITE> 'de konuma dayalı bir öneri sistemi için çizge tabanlı point of interest (POI) yerleştirmeyi öğrenen bir sistem önermişlerdir.,literatür taraması,background
48990,"Bu sınıflandırıcılar literatürde kabul gören k-nearest neighbors(KNN)  , Naive-bayes (NB)  , Random Forest(RF)  , Gradient Boosting (GB)  , LightGBM  , Discriminant Analysis <CITE> , Adaboost   ve Xgboost   sınıflandırıcılarıdır.",esa katmanları ve sınıflandırıcılar,background
49076,"Tavallaee ve ark. <CITE> , çoğunluğunu index dergilerden oluşan tarama çalışması kapsamında incelediği 276 makalenin % 75'inde KDD99 DARPA veri setinin kullanıldığını tespit edilmiştir.",materyal ve metot,background
35739,"Mevcut diğer araştırmaların bir bölümü, uygulama modeli değil, kavramsal çerçeve sunmaktadır <CITE>.",ilgili çalışmalar,background
29748,"Yenilikçi teknolojilerden yararlanılması ise, afet sonrasında olduğu kadar, afet öncesinde de riskin azaltılması adına oldukça önemli kazanımlar sağlayacaktır <CITE>.",giriş,background
40043,Elmas <CITE> çalışmasında DoS ataklarından biri olan Brute Force tipi bir saldırının veri madenciliği teknikleriyle tespit edilip engellendiği bir saldırı tespit uygulaması tasarlamıştır  .,literatür incelemesi,background
30131,"KSA mimarileri kullanarak geliştirilmiş birçok popüler model bulunmaktadır. Bunlar; LeNet, AlexNet <CITE>, GoogLeNet , VGGNet ve ResNet gibi modellerdir. Bu modeller KSA tabanlı uygulamalar geliştirerek görüntü işleme, sınıflama alanında büyük başarımlar elde etmişlerdir.",önerilen tanıma sistemi,background
36223,"Bu artan karmaşıklık insanları, özellikle birden fazla beceri ve kavrayış gerektiğinde, bireylerden daha iyi performans gösterebilen, takımlar halinde çalışmaya yönlendirir <CITE> .",giriş,background
29704,"RMSE, bir modelin tahmin ettiği değerler ile gerçek değerler arasındaki farkın, yani tahmindeki hataların standart sapmasını ölçer <CITE> .",yöntemler,background
36547,"İlk defa 2015 yılında V. Mnih ve arkadaşları <CITE> tarafından sunulan DQN algoritması, yapılan değişiklikler ile çok ajanlı hale getirildi.",giriş,basis
35314,"ReliefF, birçok öznitelik seçim uygulamasında başarılı sonuçlar veren en önemli öznitelik seçimi algoritmalardan biridir. ReliefF algoritmasında sıralama ve ağırlık matrisleri oluşur. Oluşan sıralama matrisinin ilk elemanı sınıflandırmada en fazla ağırlığa sahip öznitelik sütununun indisidir. Oluşan ağırlık matrisinde ise ilgili öznitelik sütununun ağırlık değeri bulunur. Bu değerlere bağlı olarak bir eşik değeri belirlenir. Eşik değerinin üzerinde bulunan değerler yeni matrise kaydedilir <CITE> .",yöntemler,background
48777,"Demografik yapı, toplu beslenme işletmelerinin artması, insanların yeme-içmeye ayırdıkları zamanın azalması, insanların gelirlerinin artışı, yemek menülerinin gelişmesi, ev dışında yemeiçmenin yaygınlaşması ve turizm sektörünün gelişmesi hazır yemek veya toplu beslenme endüstrisinin gelişmesinin temel nedenlerindendir <CITE> .",giriş,background
48765,"Eğitim örnekleri p boyutlu x giriş vektörü ile, arzu edilen davranış q boyutlu d vektörü ile gösterilmek üzere, giriş vektörü x, uzman ağa ve birleştirme ağına eş zamanlı olarak uygulanır <CITE>.",materyal ve yöntem,basis
30167,"Her yıl, çoğunluğu düşük ve orta gelirli ülkelerde olmak üzere ortalama 265.000 ölüm yanık nedeni ile meydana gelmektedir <CITE> .",giriş,background
